title,date,authors,isbn,description,collection,img,publisher,language,format,url
"¿Estás listo, Ratoncito?","12 de julio de 2022","Jeff Smith","978-8-419-27964-4","EDICIÓN ORIGINAL: Little Mouse Gets Ready USA ¡Con TOON BOOKS, leer es DIVERTIDO! ¿Será capaz RATONCITO de estar listo a tiempo? Ratoncito tiene que hacer un montón de cosas para poder ir al establo. Con tanto botón, tanto velcro y tanto agujero, ¿será capaz de dominar la técnica de vestirse? El dibujante Jeff Smith, ganador de varios premios Eisner, y su resuelto Ratoncito animan con gran encanto los pequeños placeres de esta tarea cotidiana.","","https://i1.whakoom.com/small/14/30/95404c4d937c49cb9a95ed359e6c20da.jpg","ECC Ediciones","Español (España)","Cartoné 32 pp","https://www.whakoom.com/ediciones/629738/estas_listo_ratoncito-cartone_32_pp"
"¿Habéis oído lo que ha hecho Eddie Gein?","23 de marzo de 2023","Harold Schechter, Eric Powell","978-8-411-50281-8","Uno de los grandes en el campo de la literatura sobre crímenes reales, Harold Schechter, se une al ganador de cinco premios Eisner, Eric Powell, para traerte la historia de Ed Gein, uno de los asesinos más trastornados de la historia estadounidense y que inspiró películas como Psicosis, La matanza de Texas y El silencio de los corderos.","","https://i1.whakoom.com/small/11/0b/8d4da387d3614637b9dac7cd0640c95a.jpg","Panini Comics España","Español (España)","Cartoné 224 pp B/N","https://www.whakoom.com/ediciones/638007/habeis_oido_lo_que_ha_hecho_eddie_gein-cartone_224_pp"
"¿Materniyá?","23 de junio de 2021","Marta Piedra","978-8-408-24276-5","Un cómic sobre un dilema que viven muchas mujeres hoy en día alrededor de los 30. Estás alrededor de los 30 (más pa'arriba más pa'bajo) y parece que las cosas comienzan a verse diferente. Preguntas como ""¿quiero ser madre ya?"" se asoman por el horizonte, mientras algunas amigas van procreando y parecen despertar un reloj interior que nunca había dicho nada y que ahora empieza a hacer tic-tac. Ya estamos. El dilema está servido. Esta es una situación a la que nos enfrentamos muchas mujeres al llegar a la “flor de la vida”, ese momento en el que nos damos cuenta de que los 30 no son los nuevos 20, y que la realidad es que los 40 están más cerca de lo que creemos. Con el humor irónico que la caracteriza, Marta Piedra habla en este libro del camino que recorremos las mujeres en el momento de decidir si seremos madres, ¡y cuándo!, y todas las dudas que nos surgen. Greta y sus tres amigas, que forman el infalible grupo de “las maris”, intentarán resolver todas estas preguntas para, finalmente, tomar una decisión. Cuatro posiciones muy diferentes hilvanan este cómic lleno de humor y cargado de realidad.","","https://i1.whakoom.com/small/1d/21/06a13950f1fa46b38ff013d87b512908.jpg","Zenith","Español (España)","Rústica 208 pp","https://www.whakoom.com/ediciones/609060/materniya-rustica_208_pp"
"¿Mau Iz Io?","Octubre 2017","Carson Ellis","978-8-415-20888-4","¿Cómo hablan los insectos? ¿Cómo se ponen de acuerdo para trabajar en equipo? ¿Cómo se distribuyen las tareas? ¿Cómo interfiere el curso de la naturaleza en sus vidas? ¿Cuáles son las cosas que consideran importantes? Hormigas, escarabajos, caballitos del diablo, arañas y mariquitas son algunos de los insectos a los que Carson Ellis ha dado voz en una aventura tierna, divertida y trágica a la vez, que nos mostrará de cerca los grandes esfuerzos que realizan los pequeños animales en su día a día y a los que solemos permanecer ajenos. Es una invitación a mirar sin interferir, a tratar de entender ese idioma que nos resulta tan extraño y divertido, tan necesario para que la vida siga su curso. Premio al Mejor Álbum ilustrado otorgado por el Gremio de Libreros de Madrid, 2017.","","https://i1.whakoom.com/small/34/10/b5ea5d6f7a62480e86f1703fadbac824.jpg","Barbara Fiore Editora","Español (España)","Cartoné 48 pp","https://www.whakoom.com/ediciones/605983/mau_iz_io-cartone_48_pp"
"¿Me estás escuchando?","28 de mayo de 2020","Tillie Walden","978-8-417-44262-0","Bea está huyendo. Y entonces se topa con Lou. Tras este encuentro fortuito ambas inician una ruta a través del oeste de Texas, durante la cual se ven asaltadas por circunstancias sorprendentes dondequiera que vayan: un misterioso gato se suma al viaje, son perseguidas por dos amenazadores hombres de la Oficina de Asistencia en Carreteras, y el paisaje se transforma en un mundo inquietante a medida que avanzan hacia una ciudad que no aparece en los mapas, pero tampoco fuera de ellos. Para mantenerse a salvo, Bea y Lou deben confiar la una en la otra mientras se ven obligadas a afrontar verdades soterradas durante demasiado tiempo. Esta bella y conmovedora historia de amistad, sanación y esperanza resulta una exquisita muestra de conexión entre las personas que permanecerá en los lectores más allá de la última página. “Delicada, emotiva e inspiradora.” The Comics Beat “Una conmovedora historia de recuperación y resiliencia.” Booklist “Walden crea una historia rica en metáforas sobre dos mujeres homosexuales en un viaje a través del trauma y el dolor… Un tsunami de emociones, ingenioso e intenso.” Kirkus","","https://i1.whakoom.com/small/21/15/5b551060ce78454cb3367d9a80d9cfca.jpg","Ediciones La Cúpula","Español (España)","Rústica 324 pp","https://www.whakoom.com/ediciones/572747/me_estas_escuchando-rustica_324_pp"
"¿Me seguirás queriendo si mojo la cama?","Diciembre 2007","Liz Prince","978-8-493-61640-3","""Dibujar el amor resulta tan pretencioso como querer explicar el silencio. Un corazón atravesado por una flecha, rodeado de múltiples corazoncitos y algún que otro cupido, es una vulgaridad. Entonces, ¿es posible representarlo? Pues sí, Liz Prince lo consigue en su delicioso cómic. Porque el amor, si está, se nota; y hasta la acción más cotidiana de la vida en pareja se enriquece con múltiples significados. Entre James Kochalka y Jeffrey Brown, la primera mini-novela gráfica de Liz Prince explora las más banales y a la vez más fascinantes intimidades de su primer gran amor. Premio Ignatz 2005 en la categoría Mejor Debut.""","","https://i1.whakoom.com/small/3a/2e/aa40811ce129413f95ec9a6b9af0bc74.jpg","Apa Apa Cómics","Español (España)","Rústica","https://www.whakoom.com/ediciones/320403/me_seguiras_queriendo_si_mojo_la_cama-rustica"
"¿Mi hobby es raro?","15 de marzo de 2024","Comaku","978-9-874-88737-5","Maiko Fujimiya es una chica normal de secundaria que usa anteojos y guarda un extraño pasatiempo en secreto. Le encanta mirar los culos de las chicas mientras sube las escaleras de la estación de tren. Un día, una hermosa chica rubia que Maiko cree que tiene el culo perfecto le pregunta si le ha estado mirando el culo con frecuencia. Resulta que a la chica de cabello rubio le encanta que la miren, así que los dos se llevarán muy bien. Detalles de a la edición: Tomos: 1- unitario Formato: B6 (13×18cm) Páginas 200 B/C + 4 a color","","https://i1.whakoom.com/small/1b/1b/a0489c7f5b35499f9ea95b55f7af8f17.jpg","Kemuri Ediciones","Español (Argentina)","Rústica con sobrecubierta","https://www.whakoom.com/ediciones/656693/mi_hobby_es_raro-rustica_con_sobrecubierta"
"¿Nos estamos volviendo idiotas o lo hemos sido siempre?","11 de septiembre de 2017","Sergi Moreso","978-8-416-11483-2","Sergi Moreso, con acidez y mucha ironía, expone y a veces anticipa nuestro cotidiano en pleno apogeo tecnológico, provocando cambios radicales de hábitos y reforzando trastornos egocéntricos, rozando la idiotez y el ridículo en cada momento. Aun así, ¿tal vez siempre hayamos sido así? Por lo que se plantea el autor contestar a la pregunta ¿Nos estamos volviendo idiotas o lo hemos sido siempre?, eso sí, con mucho humor. La palabra idiota proviene del griego ιδιωτης (idiotes) y se refiere a aquel que no se ocupaba de los asuntos públicos, sino solo de sus intereses privados.","","https://i1.whakoom.com/small/2a/34/3a23219f1ec94c01b5d54b5d79b356a8.jpg","Bang Ediciones","Español (España)","Rústica 88 pp","https://www.whakoom.com/ediciones/485532/nos_estamos_volviendo_idiotas_o_lo_hemos_sido_siempre-rustica_88_pp"
"¿Pero Cómo Pude Amarte?","Enero 2010","Kayoru","978-8-492-90585-0","El amor no siempre está al alcance de Sakura. Años atrás, había sido rechazada por Kazukage, un chico ocho años mayor y con quien ella soñaba casarse. Dejando de lado las decepciones, llega el momento de ingresar al instituto e iniciar una nueva vida, hallando al hombre de sus sueños. Sin embargo vuelve a aparecer Kazukage... ¡¡como su nuevo profe!! Claramente es un shock para Sakura, al descubrir que aún siente algo por él. ¿Y qué sentirá Kazukage por Sakura?","","https://i1.whakoom.com/small/12/2d/a49782b966ce41eda75e7dc407fe719f.jpg","Ivrea","Español (España)","","https://www.whakoom.com/ediciones/33/pero_como_pude_amarte"
"¿Pero qué pasa con el clima?","7 de septiembre de 2021","Jenny Jordahl, Ole Mathismoen","978-8-417-80092-5","Ole Mathismoen y Jenny Jordahl se suben en su nave propulsada con energía solar (vuela, se zambulle y hasta viaja en el tiempo) y visitan diferentes ecosistemas del mundo para explicarnos el cambio climático. ¿Cuáles son las consecuencias del aumento de la temperatura? ¿A qué se deben estos cambios? Y, lo más importante: ¿qué podemos hacer para mitigar el calentamiento global? De la selva tropical al Ártico, de la Gran Barrera de Coral a la atmósfera que nos rodea, del comienzo de la vida en este planeta a nuestros posibles futuros, pasando por la extinción de especies y los desastres naturales... Pero también las transformaciones que se están implementando en diferentes países para revertir las peores consecuencias del aumento de las temperaturas.","","https://i1.whakoom.com/small/31/3d/72088a427cb54520a9503324865e09a2.jpg","Errata Naturae","Español (España)","Cartoné 78 pp","https://www.whakoom.com/ediciones/612339/pero_que_pasa_con_el_clima-cartone_78_pp"
"¿Pintas o dibujas? Un paseo por el arte de la mano del cómic","25 de abril de 2019","Max, Ana Galvañ, Pablo Auladell, Fermín Solís, Antonio Altarriba, Keko, Laura Pérez Vernetti, María Hesse, Mauro Entrialgo, Javier Olivares, Santiago García","978-8-417-26505-2","Esta catálogo acompaña a la exposición de calle que trata de aproximarse al arte de la historieta o del cómic, como se prefiera, de la mano de un grupo de autores españoles que, con un lenguaje personal y diverso, abordan en sus trabajos el arte clásico y contemporáneo a través, entre otros, de artistas como El Bosco, Velázquez, Buñuel, Frida Kahlo, Duchamp o Picasso. También se plasma en este recorrido la mirada de los autores participantes sobre diversos ámbitos del campo artístico: exposiciones, museos, ferias, bienales, artistas, comisarios, críticos, instituciones, público, …","","https://i1.whakoom.com/small/2b/16/a0f0ee83e96246d6b304b59d162b09e2.jpg","Acción Cultural Española","Español (España)","Rústica","https://www.whakoom.com/ediciones/553160/pintas_o_dibujas_un_paseo_por_el_arte_de_la_mano_del_comic-rustica"
"¿Podemos aún reírnos de todo?","28 de abril de 2015","Cabu","978-8-499-42415-6","Edición española de ""Peut-on encore rire de tout?"" (2012). ""Una reflexión en viñetas sobre los límites del humor, obra de uno de los ilustradores que perecieron en la matanza de Charlie Hebdo. ¿Podemos reírnos de todo? ¿Y podremos seguir riéndonos de todo mañana? Son preguntas que vale la pena plantearse. Es el objetivo de este libro. No hay que poner límites al humor, que está al servicio de la libertad de expresión, porque donde el humor se detiene, el espacio que deja libre lo ocupan con frecuencia la censura o la autocensura. Ni las religiones y sus integristas, ni las ideologías y sus militantes, ni las gentes de orden y sus prejuicios han de poner obstáculos al derecho a la caricatura, aunque sea excesiva, incluso aunque falte al respeto.""","","https://i1.whakoom.com/small/24/2b/2882db8409254e7e802900ab02deb03f.jpg","Ediciones Península","Español (España)","Rústica 136 pp","https://www.whakoom.com/ediciones/381301/podemos_aun_reirnos_de_todo-rustica_136_pp"
"¿Podemos hablar de algo más agradable?","15 de octubre de 2015","Roz Chast","978-8-416-19529-9","""En este libro, Chast rInde homenaje a sus padres, bucea en sus raíces narrando la historia de la llegada de sus abuelos a los estados Unidos. Pero el libro está sobre todo centrado en el amor profundo que existió entre sus padres, la codependencia que los aunaba, la decadencia física de los ancianos así como sus últimos días en un geriátrico. Roz Chast narra cómo vivió los últimos años de vejez de sus padres. Una madre que solo fue una madre y nunca una amiga; un padre con quien siempre se sintió más conectada. esta novela gráica nos hace replantearnos cómo viviremos esos años que vendrán, como hijos y padres. Mejor novela gráfica 2014 según Amazon y Goodreads.""","","https://i1.whakoom.com/small/33/16/7acc18d735ba4fa8a124ae744e9bee97.jpg","Reservoir Books","Español (España)","Cartoné 240 pp","https://www.whakoom.com/ediciones/393104/podemos_hablar_de_algo_mas_agradable-cartone_240_pp"
"¿Por qué dibujamos?","Mayo 2024","Malú Martínez ""malumens""","978-9-585-39798-9","En el ensayo en cómic ¿Por qué dibujamos?, Malumens explora el deber ser de la ilustración, el impacto de la inteligencia artificial en el arte, el miedo a la frustración, la incertidumbre del papel (o la pantalla) en blanco y el millonésimo ojo hiperrealista de Instagram. Este libro propone una reflexión sobre el dibujo que cuestiona nuestra relación con la belleza, la armonía y los memes. Su lectura no es solo para artistas: es para cualquiera que alguna vez haya abandonado el dibujo.","","https://i1.whakoom.com/small/32/16/7af02f8d6c8d4b81a9a972afa8b12263.jpg","Cohete Cómics","Español (Colombia)","Rústica","https://www.whakoom.com/ediciones/663356/por_que_dibujamos-rustica"
"¿Por qué haces esto?","Noviembre 2007","Jason","978-8-496-81533-9","¿Por qué haces esto? es un thriller existencial en el que Jason demuestra que es capaz de escribir unos diálogos tan escuetos como rigurosos a la vez que de dibujar unos personajes sencillos pero consistentes. El amplio abanico emocional que consiguen expresar con una gran economía de medios es el testimonio de la categoría de un autor que ha creado un universo único y personal.","","https://i1.whakoom.com/small/2f/08/98ffc0c2e53849afa9cc296a9d95dd1b.jpg","Astiberri","Español (España)","Rústica 48 pp","https://www.whakoom.com/ediciones/34/por_que_haces_esto-rustica_48_pp"
"¿Por qué lo llaman anexión cuando quieren decir conquista?","Abril 2012","Oroz","84928-70-77-X, 978-8-492-87077-6","Se recogen las 30 acuarelas de la exposición del mismo título que a lo largo de 2012 recorrieron diferentes localidades navarras. El libro recoge 30 caricaturas de los personajes más importantes que a uno y otro bando participaron en la conquista de Navarra y tiene la referencia histórica de los textos de la época, muy especialmente de 'La Conquista del Reino de Navarra' (1513), de Luis Correa, soldado castellano y cronista a las órdenes del Duque de Alba. ¿Por qué lo llaman anexión cuando quieren decir conquista?' recorre también los hechos posteriores a través de sus protagonistas, como los tres intentos de recuperación del Reino de Navarra: en octubre de 1512, con el rey Juan de Labrit al frente de las tropas navarras; en marzo de 1516, con el mariscal Pedro de Navarra, y en 1521 con las sublevaciones a favor de Enrique II de Navarra. El libro termina con Enrique III de Navarra, bisnieto de Enrique II, que alcanzó el trono de Francia tras pronunciar la histórica frase de 'París bien vale una misa' y convertirse al catolicismo. La contraportada del libro recoge que ""afirmar que la Conquista de Navarra fue una especie de fiesta pacífica, cuando entre 1512 y 1521 se produjeron hasta tres intentos de recuperar el reino por vía militar, resulta tan absurdo como tratar de analizarla desde las claves políticas actuales""","","https://i1.whakoom.com/small/3f/09/bf3fef924d14434ba4e6ce7595362167.jpg","Boutade","Español (España)","Cartoné 72 pp","https://www.whakoom.com/ediciones/343282/por_que_lo_llaman_anexion_cuando_quieren_decir_conquista-cartone_72_pp"
"¿Por qué no me amas?","Noviembre 2016","Juan Álvarez","978-8-494-38693-0","El libro gira en torno a la reflexión ilustrada sobre el maltrato machista. Está concebido con preguntas cortas sobre «el por qué», contestadas a su vez con otras preguntas. Estas cuestiones salen del alma de cada una de las mujeres maltratadas. El autor se aleja de las respuestas; deja en manos del lector, pues, la responsabilidad de contestarlas, la libertad de interpretar. Para ilustrar las preguntas, el autor se vale de su experiencia como dibujante, eligiendo para ello un trazo de lápiz, limpio y con la complejidad del color rojo, como aportación dramática en unos casos y pasional y sensual, en otros.","","https://i1.whakoom.com/small/02/3d/4333c3d88a3c48a4920869532d01db90.jpg","Alfaqueque ediciones","Español (España)","Cartoné 36 pp","https://www.whakoom.com/ediciones/655201/por_que_no_me_amas-cartone_36_pp"
"¿Qué clase de casa es esta?","2015","Manuel Depetris","978-9-872-50988-0","Contiene cuatro historias autoconclusivas: El mirador de Gálvez, Nunca tuvimos nombre alguno, Odio a la hermana Margarita y Usted debería dormir ocho horas.","","https://i1.whakoom.com/small/18/2b/9901d9860520454f912bbf0aef68c257.jpg","La Pinta","Español (Argentina)","Rústica.","https://www.whakoom.com/ediciones/395755/que_clase_de_casa_es_esta-rustica"
"¿Que es el humor? Orgullo y Satisfacción","25 de noviembre de 2016","José Luis Ágreda, Albert Monteys, Alberto González Vázquez, Asier Sanz, Bernardo Vergara, Guillermo, Luis Bustos, Manel Fontdevila, Manuel Bartual, Mel, Moran, Oroz, Paco Alcázar, Bea Tormo, Toni Batllori","978-8-416-25188-9","Los autores de Orgullo y Satisfacción llevan mucho tiempo respondiendo a las mismas preguntas: cuáles son los límites del humor, qué líneas rojas son las que el humor no debería traspasar, cuándo se convierte el humor en humor negro… pero al final, todo es mucho más sencillo. Ellos hacen humor porque les gusta, porque creen en él, porque es su idioma y porque seguramente no saben hacer otra cosa. Así que ahora, por fin, han decidido responder con 100 chistes a una sola pregunta que da respuesta a todas estas cuestiones, una pregunta que tan sólo ellos saben responder: ¿Qué es el humor? Con páginas de Ágreda, Albert Monteys, Alberto Gónzalez Vázquez, Asier y Javier, Bernardo Vergara, Guillermo, Luis Bustos, Manel Fontdevila, Manuel Bartual, Mel, Morán, Oroz, Paco Alcázar, Toni y Triz.","","https://i1.whakoom.com/small/1d/1c/62ec86a34cdc45d0a6eb3ce252fb41e9.jpg","Astiberri","Español (España)","Cartone 104 pp","https://www.whakoom.com/ediciones/405910/que_es_el_humor_orgullo_y_satisfaccion-cartone_104_pp"
"¿Qué es en realidad el fascismo?","27 de marzo de 2021","Kalle Johansson, Lena Berggren","978-8-417-38360-2","Los movimientos ultranacionalistas y populistas van ganando presencia e influencia en todo el mundo. Para enfrentarse a ellos es importante conocer sus raíces ideológicas y comprender qué pensaban e hicieron sus referentes históricos, fundamentalmente el nazismo en Alemania y el fascismo en Italia. El formato cómic permite acercar a un público joven a lo que fueron, y siguen siendo, los fundamentos de estas dos ideologías totalitarias y sus ramificaciones.","","https://i1.whakoom.com/small/1e/35/fee79d859fb64d0ab7f800f9c73ce51d.jpg","Takatuka","Español (España)","Cartoné 68 pp","https://www.whakoom.com/ediciones/600797/que_es_en_realidad_el_fascismo-cartone_68_pp"
"¿Qué he ganado con quererte?","Noviembre 2015","Alejandro Farías, Junior Santellán","978-9-974-72032-9","Una joven dibujante uruguaya está cansada de ver cómo se desperdicia el potencial narrativo de la historieta, arte que la apasiona, al contar las mismas historias de aventura, ciencia ficción y suspenso que ya se han contado una y mil veces. Por lo tanto, decide hacer la historieta más original de todos los tiempos usando como tema central la vida del  hombre que la obsesiona desde pequeña: Felisberto hernández. En su afán por saber más de la vida del autor, comienza a seguirlo, a espiar su casa, a revisar sus papeles y descubre, por error, un gran secreto. Secreto que hará que su vida se vuelva una de esas historietas de aventuras que tanto desprecia.","","https://i1.whakoom.com/small/09/2a/6fb7dcf93aab4485a1672a6227558421.jpg","Grupo Belerofonte / Loco Rabia / Estuario","Español (Argentina)","Rústica, 96 pp","https://www.whakoom.com/ediciones/397290/que_he_ganado_con_quererte-rustica_96_pp"
"¿Qué le pasa, doctor? ¿Eh?","1988","Forges","84759-22-21-X","El humor es algo que puede asociarse a la salud. La risa es saludable, por eso ponemos en sus manos este libro, DOCTOR.","","https://i1.whakoom.com/small/31/32/6a9be2a7294949a387f25fee36de9b93.jpg","Ediciones Doyma","Español (España)","Rústica 104 pp","https://www.whakoom.com/ediciones/575601/que_le_pasa_doctor_eh-rustica_104_pp"
"¿Qué pacha, mama?","5 de abril de 2018","Raquel Riba Rossy","978-8-426-40543-2, 9788426405432-02101","Lola Vendetta deconstruye el imaginario feminista y las relaciones madre-hija. Lola Vendetta regresa dispuesta a perseverar en su objetivo: sentar las bases de una re-evolución femenina y feminista. Una andadura que, en esta ocasión, pasa por diseccionar las relaciones madre-hija y analizar las bases sobre las que se construye la identidad femenina. En este libro veremos cómo se gestan el personaje y su lucha, qué tipo de hija es y quien es su madre. Descubriendo que no es baladí aquel refrán que afirma que «de tal palo, tal astilla». Un cómic imprescindible para todas aquellas mujeres —madres o hijas— decididas a pisar fuerte en la vida sin renunciar al sentido del humor.","","https://i1.whakoom.com/small/25/1d/53c0688a1bc44edaac6e19a4dde5970a.jpg","Lumen","Español (España)","Rústica 152 pp","https://www.whakoom.com/ediciones/501731/que_pacha_mama-rustica_152_pp"
"¿Qué pasa con su amor que no encaja?","14 de junio de 2022","Kou mori","978-8-412-43050-9","Misaki Amami, una oficinista sensible y que va a la última, esconde un secreto detrás de la luz que irradia allá por donde va: es una loca de los videojuegos. Sin embargo, justo antes de la final de un gran torneo, se encuentra a su compañero de trabajo, Momokawa.","","https://i1.whakoom.com/small/2d/3c/ee5976eb2f004e35a7438e00de26282e.jpg","Odaiba Ediciones","Español (España)","Rústica","https://www.whakoom.com/ediciones/621867/que_pasa_con_su_amor_que_no_encaja-rustica"
"¿Qué pasaría si...?","26 de enero de 2017","Randall Munroe","978-8-403-51729-5","¡Ey! Gracias por fijarte en mi libro. Si estás pensando en comprarlo hay dos cosas que no tendrías por qué saber pero que quiero contarte por si finalmente no te gusta y decides darle otro uso: - Los humanos no podemos digerir el papel de celulosa, pero en caso de que pudiéramos, si decidieras comerte este libro engordarías 2.300 calorías -¡incluida la cubierta, claro! - Si tienes un buen brazo, podrías lanzar este libro a más de 13 metros. Con práctica es posible llegar a lanzar un libro cada 800 milisegundos, lo que significa que si un agresor te estuviera persiguiendo, podrías tener tres o cuatro oportunidades de golpearlo antes de que te alcanzara. Si en cambio el ataque fuera por parte de un coyote que corre a la máxima velocidad que puede, solo tendrías una oportunidad. ¡Apunta bien! ¿Qué pasaría si...? es un libro de divulgación científica en el que se recopilan algunos de los mejores posts así como otros nuevos elaborados a partir de las preguntas del blog de Randall Munroe, en el que responde a los lectores haciendo uso de sus conocimientos científicos y matemáticos. Munroe fue físico en la NASA antes de crear la web www.xkcd, que ha recibido más de un millón de visitas. Este es un libro original, inteligente y con mucho humor.","","https://i1.whakoom.com/small/05/08/f709d77fb16f40c9adb7a8679b32f837.jpg","Aguilar","Español (España)","Rústica 408 pp","https://www.whakoom.com/ediciones/408248/que_pasaria_si-rustica_408_pp"
"¿Qué pasaría si...? Minnie fuera la Capitana Marvel","12 de noviembre de 2025","Steve Behling, Luca Barbieri, Giada Perissinotto, Lucio Ruvidotti","750-3-057-27094-3","Inspirada en Ms. Marvel Vol. 1 1-4, nuestra historia sigue a Minnie Mouse, la reportera del periódico La Crónica, encargada de realizar un reportaje sobre la nueva heroína que ha aparecido en Patolandia ¡Capitana Marvel! Pero el Escorpión Pata de Palo complica sus planes con un ataque al edificio del periódico. Para empeorar las cosas, John D. Rockerduck y los Chicos Malos ¡asaltan el depósito de dinero de Rico McPato! Cuando la Capitana Marvel llega para detenerlos, Minnie descubre un increíble secreto sobre su pasado. ¿Cuál será la conexión de Minnie con la sensacional nueva heroína de Patolandia? SKU: QWHIF002","","","Panini Comics México","Español (México)","Grapa 32 pp","https://www.whakoom.com/ediciones/685139/que_pasaria_si_minnie_fuera_la_capitana_marvel"
"¿Qué Querés Ser Cuando Seas Grande?","15 de octubre de 2019","Marcelo Pulido, Dante Ginevra, Lauri Fernández, Jok, Marcos Vergara, Sergio Ibáñez, Ian Debiase, José Massaroli, Fabián Mezquita, Ezequiel Rosingana","978-9-874-69323-5","¿Cómo llega un niño a convertirse en un asesino? ¿Cómo llega una sociedad a cometer un genocidio? ¿Cómo se vive con eso? ¿Cómo se convive, transcurre la vida, durante el horror? ¿Cómo es la vida después de un genocidio? Este libro no pretende responder ninguna de estas preguntas, apenas seguir interrogando.","","https://i1.whakoom.com/small/38/17/39afeed83ecb4285950c080499e9ca45.jpg","Historieteca Editorial","Español (Argentina)","Rústica 64 pp","https://www.whakoom.com/ediciones/568640/que_queres_ser_cuando_seas_grande-rustica_64_pp"
"¿Qué te diré cuando te vea?","20 de junio de 2024","Nemu Yoko","978-8-410-29406-6","Kiri y su marido, Mutsu, son treintañeros y llevan poquitos años de casados. Saben que no pueden demorarse demasiado en tener hijos, pero sienten vértigo ante la idea de dar ese paso sin vuelta atrás. Kiri siente la presión social cada vez que se entera de que alguien de su entorno se queda embarazada mientras que él, en cambio, no se da por aludido… ¡hasta que descubren que están a punto de enfrentarse a un mundo desconocido para ellos!","","https://i1.whakoom.com/small/06/0d/8fcbc193278348dba42c238eb956bba9.jpg","Arechi Manga","Español (España)","Rústica","https://www.whakoom.com/ediciones/656115/que_te_dire_cuando_te_vea-rustica"
"¿Quién ama a las Fresas?","Abril 2010","Clara-Tanit","978-8-492-76945-2","Fresa es una adolescente diferente a las demás, no tiene muchos amigos y se siente excluida, precisamente porque es una fresa; y no le gusta nada tener una cabeza de fresa, como la de su madre. El cómic arranca con el ingreso de Fresa en el hospital: está en coma y sufre un extraño tipo de amnesia. La historia empieza entonces a transcurrir en dos niveles: la realidad de la habitación de hospital donde Madre Fresa vela a su hija, y el caótico mundo interior de Fresa, que mezcla recuerdos reales con fantasías. A través del coma de Fresa, vamos descubriendo sus inquietudes de adolescente, la búsqueda de la identidad, el sexo, la relación a la vez conflictiva y estrecha con su madre... Clara-Tanit maneja una pluralidad de registros gráficos y emocionales. Escenas dulces y divertidas, crueles y desesperadas; ilustraciones amplias con tono surrealista, experimentación y juegos gráficos cuando pasa del plano de la realidad al del sueño y la fantasía. ¿Quién ama a las fresas? es el proyecto que Clara-Tanit realizó durante el año 2009 en La Maison des Auteurs de Angoulême, la ciudad del cómic, y permite apreciar su crecimiento como narradora y dibujante desde Wassalon (Astiberri, 2007), su primera obra completa, que le supuso estar nominada al premio autor revelación del Salón Internacional del Cómic de Barcelona 2008.","","https://i1.whakoom.com/small/06/06/5caa1776dc6d4e7cbc1eda7202bd2581.jpg","Astiberri","Español (España)","","https://www.whakoom.com/ediciones/35/quien_ama_a_las_fresas"
"¿Quién anda ahí?","","Quino","978-9-505-15911-6","","","https://i1.whakoom.com/small/2e/1b/9279bfbba10044a6bb144a8363e5f84b.jpg","Ediciones de la Flor","Español (Argentina)","Rústica 128 pp","https://www.whakoom.com/ediciones/508688/quien_anda_ahi-rustica_128_pp"
"¿Quién es Copérnico?","Julio 2003","Dante Ginevra, Jok","16669584","","","https://i1.whakoom.com/small/0f/09/627d43c05b0240bf993ed3ab3a2225bb.jpg","La Productora","Español (Argentina)","","https://www.whakoom.com/ediciones/356197/quien_es_copernico"
"¿Quién es el 11º pasajero?","29 de octubre de 2016","Moto Hagio","978-8-416-18826-0","Un clásico del manga de ciencia ficción creado por una de las grandes autoras de la historia del cómic japonés, Moto Hagio, publicada por primera vez en español. Todos los candidatos a ingresar en la Universidad Estelar, escogidos entre lo más granado de las civilizaciones de la galaxia, son agrupados en 70 grupos de diez para enfrentarse a una prueba final que valorará si merecen el honor de considerarse válidos para dicha institución. Para el grupo 22, la prueba consiste en sobrevivir encerrados en una nave a la deriva que orbita alrededor de un planeta deshabitado. Cada uno de los miembros se juega mucho en este examen, pero si tan sólo uno de ellos se da por vencido, todos suspenderán. Nada más atravesar las puertas de la nave, se dan cuenta de que algo va mal: no son diez, sino once personas allí. ¿Quién es el undécimo pasajero?","","https://i1.whakoom.com/small/36/21/712956ec92c548f2b4e39534aacc9f88.jpg","Ediciones Tomodomo","Español (España)","Rústica","https://www.whakoom.com/ediciones/398760/quien_es_el_11_pasajero-rustica"
"¿Quién es ese Pitufo?","22 de marzo de 2024","Tebo","978-8-467-96817-0","Contiene Les schtroumpfs par... 1- Qui est ce Schtroumpf? publicado en 2023 por Le Lombard Un Pitufo que no habla pitufo, que ha pitufado la memoria y al que no pitufa ningún Pitufo. y así empieza una aventura pitufante! Para pitufar quién es este Pitufo, nuestros valerosos Pitufos tendrán que pitufar numerosos peligros e innumerables pituferias... Si no has pitufado nada de este pitufo, pitufate este libro! Todo queda perfectamente pitufado en su interior. El genial artista Tebo nos ofrece su personalísima versión de los Pitufos en un álbum que rebosa originalidad, diversión y frescura. Nunca has pitufado nada igual!","","https://i1.whakoom.com/small/04/22/54daad5d65d64784a802c94ebf977e41.jpg","Norma Editorial","Español (España)","Cartoné 56 pp","https://www.whakoom.com/ediciones/659454/quien_es_ese_pitufo-cartone_56_pp"
